No;Muestreo;GF;Lluvia;Ab;Biom
1;M1;C-F;P1;98;56,05
2;M2;C-F;P1;198;52,66
3;M3;C-F;P2;45;11,37
4;M4;C-F;P2;51;25,26
5;M5;C-F;P2;3;0,36
6;M6;C-F;P2;69;23,59
7;M7;C-F;P2;31;11,2
8;M8;C-F;P1;17;2,42
9;M1;C-R;P1;157;16,18
10;M2;C-R;P1;385;68,55
11;M3;C-R;P2;110;64,33
12;M4;C-R;P2;399;290,51
13;M5;C-R;P2;206;57,19
14;M6;C-R;P2;48;14,46
15;M7;C-R;P2;85;16,12
16;M8;C-R;P1;72;10,26
17;M1;D;P1;103;363,35
18;M2;D;P1;212;240,42
19;M3;D;P2;63;201,29
20;M4;D;P2;90;315,47
21;M5;D;P2;74;153,44
22;M6;D;P2;71;53,13
23;M7;D;P2;47;157,5
24;M8;D;P1;100;480,49
25;M1;R;P1;191;10,33
26;M2;R;P1;139;133,99
27;M3;R;P2;20;27,64
28;M4;R;P2;56;35,67
29;M5;R;P2;8;2,38
30;M6;R;P2;50;27,24
31;M7;R;P2;29;16,52
32;M8;R;P1;15;16,04
33;M1;T;P1;9;23,44
34;M2;T;P1;163;531,74
35;M3;T;P2;81;532,96
36;M4;T;P2;73;164,46
37;M5;T;P2;8;3,13
38;M6;T;P2;10;36,47
39;M7;T;P2;7;18,48
40;M8;T;P1;10;15,25
